"rin_community","number_of_eligible_applicants","number_of_enrolled_learners","number_of_learners_completed_1st","data_analytics_learners","data_analytics_completions","project_management_learners","project_management_completions","cybersecurity_learners","cybersecurity_completions","it_support_learners","it_support_completions","ux_design_learners","ux_design_completions","total_completions","overall_enrollment_rate","overall_completion_rate","data_analytics_completion_rate","project_management_completion_rate","cybersecurity_completion_rate","it_support_completion_rate","ux_design_completion_rate"
"Ada",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Chambers County",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Eastern Kentucky",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Indiana County",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Manitowoc County",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA
"Nacogdoches",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Portsmouth",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"Shenandoah Valley",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA
"Taos",1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,0,NA,0,NA
"Traverse City",57,21,6,13,3,17,6,7,0,4,0,0,0,9,0.368421052631579,0.285714285714286,0.230769230769231,0.352941176470588,0,0,NA
"Windham County",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Total",72,25,6,15,3,19,6,8,0,5,0,0,0,9,0.347222222222222,0.24,0.2,0.31578947368421,0,0,NA
